Timestamp, EventType, Ticker, Price, Quantity, Exchange, Conditions
07:12:38.577, TRADE, IBM, 155.61, 1, ARCA, 80002000
07:48:52.137, TRADE, IBM, 154.49, 200, ARCA, 20002020
07:49:41.075, TRADE, IBM, 154.50, 500, ARCA, 20002020
07:49:42.377, TRADE, IBM, 154.50, 200, ARCA, 00002000
07:49:42.571, TRADE, IBM, 154.50, 200, ARCA, 00002000
07:49:42.732, TRADE, IBM, 154.50, 200, ARCA, 00002000
07:49:42.817, TRADE, IBM, 154.50, 200, ARCA, 00002000
07:49:43.006, TRADE, IBM, 154.50, 200, ARCA, 00002000
07:49:43.188, TRADE, IBM, 154.50, 200, ARCA, 00002000
07:49:43.191, TRADE, IBM, 154.50, 200, ARCA, 00002000
07:49:43.388, TRADE, IBM, 154.50, 200, ARCA, 00002000
07:49:43.670, TRADE, IBM, 154.50, 200, ARCA, 00002000
07:49:43.836, TRADE, IBM, 154.50, 200, ARCA, 00002000
07:49:44.274, TRADE, IBM, 154.50, 200, ARCA, 00002000
07:49:45.389, TRADE, IBM, 154.50, 200, ARCA, 00002000
07:49:46.676, TRADE, IBM, 154.50, 100, ARCA, 00002000
07:49:46.698, TRADE, IBM, 154.53, 1, ARCA, a0002020
07:49:46.698, TRADE, IBM, 154.50, 99, ARCA, a0002020
07:49:46.847, TRADE, IBM, 154.50, 1, ARCA, a0002020
07:51:25.445, TRADE, IBM, 154.17, 30, ARCA, a0002020
08:00:04.413, TRADE, IBM, 154.17, 31333, FINRA, 00102002
08:06:51.328, TRADE, IBM, 154.37, 100, ARCA, 00002000
08:14:24.793, TRADE, IBM, 154.37, 50, ARCA, 80002000
08:14:24.794, TRADE, IBM, 154.36, 450, EDGX, 00002000
08:14:34.390, TRADE, IBM, 154.36, 550, EDGX, 00002000
08:30:32.876, TRADE, IBM, 154.12, 10, EDGX, 80002000
08:39:25.398, TRADE, IBM, 154.37, 10, ARCA, 80002000
08:39:25.399, TRADE, IBM, 154.40, 90, ARCA, 80002000
08:42:55.015, TRADE, IBM, 154.17, 200, ARCA, 20002020
08:42:55.015, TRADE, IBM, 154.14, 100, ARCA, 20002020
08:42:55.016, TRADE, IBM, 154.12, 100, EDGX, 20002020
08:42:55.016, TRADE, IBM, 154.12, 100, ARCA, 20002020
08:42:55.016, TRADE, IBM, 154.11, 200, EDGX, 20002020
08:42:55.016, TRADE, IBM, 154.10, 300, EDGX, 20002020
08:42:55.016, TRADE, IBM, 154.11, 1000, ARCA, 20002020
08:42:55.027, TRADE, IBM, 154.00, 500, ARCA, 20002020
08:42:55.028, TRADE, IBM, 154.16, 100, NASDAQ, 00002000
08:42:55.028, TRADE, IBM, 154.16, 100, NASDAQ, 00002000
08:42:55.038, TRADE, IBM, 154.05, 100, ARCA, 20002020
08:42:55.039, TRADE, IBM, 154.00, 100, ARCA, 20002020
08:42:55.195, TRADE, IBM, 154.00, 100, ARCA, 00002000
08:42:55.202, TRADE, IBM, 154.00, 100, EDGX, 00002000
08:42:55.203, TRADE, IBM, 154.00, 100, BATS, 00002000
08:42:55.207, TRADE, IBM, 154.00, 100, NASDAQ, 00002000
08:43:01.984, TRADE, IBM, 154.00, 100, NASDAQ, 00002000
08:43:07.249, TRADE, IBM, 154.00, 100, ARCA, 00002000
08:43:07.249, TRADE, IBM, 154.00, 100, NASDAQ, 00002000
08:43:07.758, TRADE, IBM, 154.00, 100, NASDAQ PSX, 00002000
08:43:08.567, TRADE, IBM, 154.00, 100, NASDAQ, 00002000
08:43:09.547, TRADE, IBM, 154.00, 100, NASDAQ, 00002000
08:43:14.162, TRADE, IBM, 153.96, 100, NASDAQ, 00002000
